City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
antsohihy,-14.8796,47.9875,74.41,93,91,2.73,MG,1612838887
avarua,-21.2078,-159.775,84.2,74,40,6.91,CK,1612838888
bluff,-46.6,168.3333,54.43,87,100,11.68,NZ,1612838632
hithadhoo,-0.6,73.0833,82.54,79,100,11.7,MV,1612838890
atuona,-9.8,-139.0333,79.56,78,99,18.81,PF,1612838892
rikitea,-23.1203,-134.9692,78.13,70,25,5.79,PF,1612838633
bambous virieux,-20.3428,57.7575,77.0,88,40,3.44,MU,1612838894
khandbari,27.3747,87.2039,64.98,26,0,1.95,NP,1612838895
upernavik,72.7868,-56.1549,15.66,77,0,5.66,GL,1612838759
kavieng,-2.5744,150.7967,84.47,75,18,9.64,PG,1612838897
calintaan,12.5667,120.9333,76.62,84,100,4.41,PH,1612838898
glendive,47.1053,-104.7125,-8.0,64,75,11.5,US,1612838899
jamestown,42.097,-79.2353,19.99,93,90,3.44,US,1612838744
granja,-3.1203,-40.8261,76.77,94,100,3.06,BR,1612838901
busselton,-33.65,115.3333,70.0,65,69,4.0,AU,1612838902
bosaso,11.2842,49.1816,72.36,73,98,12.03,SO,1612838903
myre,69.1036,15.9492,26.6,80,100,14.97,NO,1612838904
minab,27.1467,57.0801,60.8,88,4,4.61,IR,1612838905
butaritari,3.0707,172.7902,82.06,82,60,21.09,KI,1612838906
dikson,73.5069,80.5464,-28.93,86,91,12.73,RU,1612838660
vaini,-21.2,-175.2,78.8,94,90,17.27,TO,1612838674
ushuaia,-54.8,-68.3,55.4,62,75,16.11,AR,1612838864
praia da vitoria,38.7333,-27.0667,60.8,72,20,14.81,PT,1612838910
punta arenas,-53.15,-70.9167,59.0,67,0,10.36,CL,1612838912
albany,42.6001,-73.9662,18.0,59,82,0.85,US,1612838451
chuy,-33.6971,-53.4616,64.27,92,19,4.05,UY,1612838914
mataura,-46.1927,168.8643,53.78,96,100,4.36,NZ,1612838567
qaanaaq,77.484,-69.3632,21.0,76,96,7.52,GL,1612838384
port elizabeth,-33.918,25.5701,64.4,88,20,3.94,ZA,1612838917
husavik,66.0449,-17.3389,28.4,93,90,2.3,IS,1612838918
fortuna,40.5982,-124.1573,46.99,87,100,2.08,US,1612838919
kasli,55.8909,60.7616,-14.98,82,100,13.51,RU,1612838921
mount isa,-20.7333,139.5,87.8,58,100,9.22,AU,1612838922
baruun-urt,46.6806,113.2792,9.14,91,0,8.52,MN,1612838923
new norfolk,-42.7826,147.0587,63.0,47,97,1.01,AU,1612838924
leszno,51.8403,16.5749,14.0,64,85,2.91,PL,1612838925
panaba,21.2833,-88.2667,71.87,86,0,9.4,MX,1612838926
hilo,19.7297,-155.09,77.0,69,90,6.91,US,1612838611
iglino,54.8324,56.4126,-16.6,69,40,8.95,RU,1612838928
lundazi,-12.2929,33.1782,65.5,96,100,2.93,ZM,1612838929
hermanus,-34.4187,19.2345,64.0,90,5,6.55,ZA,1612838603
mar del plata,-38.0023,-57.5575,64.0,72,40,10.36,AR,1612838932
ihosy,-22.4,46.1167,69.76,89,100,1.77,MG,1612838933
tasiilaq,65.6145,-37.6368,23.0,54,90,17.27,GL,1612838934
geraldton,-28.7667,114.6,73.4,56,40,14.97,AU,1612838719
nata,8.3333,-80.5167,77.29,78,92,11.34,PA,1612838936
cockburn town,21.4612,-71.1419,77.5,80,0,22.75,TC,1612838831
verkhniye tatyshly,56.2912,55.8575,-18.56,87,92,11.27,RU,1612838938
la romana,18.4273,-68.9728,71.6,100,75,4.61,DO,1612838939
kieta,-6.2167,155.6333,84.61,77,92,10.16,PG,1612838940
kodiak,57.79,-152.4072,33.8,60,1,11.5,US,1612838941
cape town,-33.9258,18.4232,69.01,83,0,16.11,ZA,1612838706
boa vista,2.8197,-60.6733,80.6,69,40,9.22,BR,1612838943
san jose,37.3394,-121.895,55.99,67,90,3.44,US,1612838857
thompson,55.7435,-97.8558,-13.0,77,90,9.22,CA,1612838946
stornoway,58.2093,-6.3865,30.2,69,11,4.61,GB,1612838947
barrow,71.2906,-156.7887,-32.8,85,1,11.5,US,1612838948
cherskiy,68.75,161.3,9.25,81,61,6.49,RU,1612838949
ust-ilimsk,58.0006,102.6619,26.4,91,100,14.67,RU,1612838950
airai,-8.9266,125.4092,69.28,94,100,4.99,TL,1612838951
norman wells,65.282,-126.8329,-32.8,68,1,4.61,CA,1612838952
